OID_,AreaServed,ID,COMPANY,Acronym,CoType,AreaType,Disclaimer,Disclaim2,Disclaim3,Provenance,Licence,WARNINGS,Created,LastUpdate,Version,Revisions
247,"South Chesterton, Cirencester",377,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
248,"Station Rd, Long Melford",387,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
249,"Station Road, Crewkerne",384,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
250,"Station Road, Grimsby",386,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
251,St Helens Road (Boundary amendment),382,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
252,"St Helens Road, Bolton",381,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
253,"Swinnow Park, Leeds",393,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
254,"The Sands, Benson, Ewelme",398,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
255,"The Asps, Warwick",397,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
256,"Thornton Park, Clapham Common",400,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
257,Westwood Thanet,416,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
258,"Willow Lane (Phase 2), Beverley",425,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
259,"Womb Farm, Chatteris",429,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
260,Parc Llanilid,201,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,"corrected v1_4 - sewerage boundary was incorrect, water boundary aligned"
261,"Lea Castle, Cookley",145,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
262,"Coronation Square, Leyton",172,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
263,"Stewartby Phase 5, Bedford",165,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_1
264,"Bonnington Walk, Bristol",150,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
265,"Turpins Farm, Frinton on Sea",169,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_1
266,"Stones Farm, Sittingbourne",58,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
267,"Cribbs Causeway, Bristol",154,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
268,"Drove Lane, Yapton",156,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_1
269,"Dunston Road, Lincoln",157,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
270,"Folkestone Seafront, Kent",159,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
271,"Norwood Farm, Harpole",160,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
272,"Percy Drive, Morpeth",161,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_1
273,"Salhouse Road 2, Norwich",162,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
274,"Seaton Vale, Ashington",163,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
275,"Stone Path Drive, Chelmsford",166,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_1
276,Thanet Way,167,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
277,"Weeley Road, Great Bentley",170,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
278,"Boorley Gardens, Eastleigh",57,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
279,"Ashfield Road, Elmswell",149,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
280,Brent Cross South (phase 1a.1),151,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
281,"Calverswall Lane, Meir",152,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
282,"Cell A, Newcastle Great Park",138,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
283,"Chapelgarth, Sunderland",139,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
284,"City Fields (including Phase 5), Wakefield",153,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence.,Site boundary under review due to overlapping application,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_3
